msa,base,action,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_contractor,direct,indirect,total_job_changes,ea_employment,changes_as_percent_of_employment
"Columbus, OH Metropolitan Statistical Area","U.S. Army Reserve Center Whitehall",Close,-25,0,0,0,-25,0,0,-25,-9,-34,1122033,0.0%
"Columbus, OH Metropolitan Statistical Area","Leased Space - OH",Close/Realign,0,-187,0,0,0,-187,0,-187,-153,-340,1122033,0.0%
"Columbus, OH Metropolitan Statistical Area","Defense Supply Center Columbus",Gain,-2,-960,65,2655,63,1695,0,1758,1412,3170,1122033,0.3%
"Columbus, OH Metropolitan Statistical Area","Rickenbacker International Airport Air Guard Station",Gain,0,0,0,1,0,1,0,1,0,1,1122033,0.0%
"Columbus, OH Metropolitan Statistical Area","Columbus",Realign,-4,0,0,0,-4,0,0,-4,-1,-5,1122033,0.0%
"Corpus Christi, TX Metropolitan Statistical Area","Naval Station Ingleside",Close,-1901,-260,0,0,-1901,-260,-57,-2218,-2582,-4800,221376,-2.2%
"Corpus Christi, TX Metropolitan Statistical Area","Corpus Christi Army Depot",Realign,0,-92,0,0,0,-92,0,-92,-132,-224,221376,-0.1%
"Corpus Christi, TX Metropolitan Statistical Area","Naval Air Station Corpus Christi",Realign,-926,-89,0,0,-926,-89,-10,-1025,-1183,-2208,221376,-1.0%
"Dallas-Plano-Irving, TX Metropolitan Division","Army National Guard Reserve Center # 2 Dallas",Close,-90,0,0,0,-90,0,0,-90,-48,-138,2410769,0.0%
"Dallas-Plano-Irving, TX Metropolitan Division","Army National Guard Reserve Center California Crossing",Close,-47,0,0,0,-47,0,0,-47,-25,-72,2410769,0.0%
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area","Rock Island Arsenal",Realign,-3,-1537,157,120,154,-1417,0,-1263,-1171,-2434,229053,-1.1%
"Dayton, OH Metropolitan Statistical Area","Defense Finance and Accounting Service, Dayton",Close,0,-230,0,0,0,-230,0,-230,-194,-424,512393,-0.1%
"Dayton, OH Metropolitan Statistical Area","Wright Patterson Air Force Base",Gain,-69,-729,658,559,589,-170,75,494,376,870,512393,0.2%
"Dayton, OH Metropolitan Statistical Area","Glenn Research Center",Realign,0,-50,0,0,0,-50,0,-50,-42,-92,512393,0.0%
"Del Rio, TX Micropolitan Statistical Area","Laughlin Air Force Base",Gain,0,0,102,80,102,80,0,182,137,319,21096,1.5%
"Denver-Aurora, CO Metropolitan Statistical Area","Buckley Air Force Base",Gain,0,0,13,81,13,81,0,94,78,172,1545580,0.0%
"Denver-Aurora, CO Metropolitan Statistical Area","Air Reserve Personnel Center",Realign,-159,-1447,57,1500,-102,53,-59,-108,-54,-162,1545580,0.0%
"Des Moines, IA Metropolitan Statistical Area","Des Moines International Airport Air Guard Station",Gain,-31,-172,54,196,23,24,0,47,27,74,362215,0.0%
